epoch,train_loss,validation_loss,validation_pooled_mae,validation_rmse,validation_patient_level_mae,training_time_seconds,validation_evaluation_time_seconds,learning_rate
1,20.564525673026253,6.944994547848747,7.429340476734508,10.032592001958912,8.630818330228609,18.31438190000017,2.7525660000001153,0.001
2,4.40984553196003,2.855322228559433,3.3128999609778726,4.595433077335563,3.507169480958092,20.871551700000055,2.784417900000335,0.001
3,3.0507497627578095,2.8043766297397372,3.259665452254352,4.561966266937863,3.4886274635969525,44.21996300000001,6.702563600000303,0.001
4,3.0083102026524746,2.771245279059134,3.2261814916059715,4.487113558280295,3.4543822998034432,37.478526800000054,3.213976399999865,0.001
5,2.9821419551666066,2.7475745230440887,3.20189029312089,4.485261749329629,3.4114234718465037,29.517185700000027,3.476294699999926,0.001
6,2.98892813027645,2.8269687919412956,3.2881362688682745,4.549567230811302,3.508434946649156,32.94913960000031,3.529318500000045,0.001
7,2.9744665392614795,2.731381267487604,3.1852834289350174,4.462931709863005,3.3908382234146277,29.10097130000031,3.5078514000001633,0.001
8,2.947950996954946,2.7410366649372446,3.1977046522571944,4.4711077430005295,3.40476468571448,53.57484350000004,7.580883200000244,0.001
9,2.933059220281294,2.7876526381938946,3.2466516145477136,4.510212952885629,3.474031029309582,27.284019900000203,2.9723038000001907,0.001
10,2.9406331815422933,2.752739812975437,3.2110459513193508,4.465792052384753,3.4229720033790034,21.692763399999876,3.528055900000254,0.001
11,2.9262653202980613,2.7108639170130258,3.164916797624058,4.448388885843746,3.362499942870314,23.72183559999985,2.8713072000000466,0.001
12,2.8932962727020897,2.711864514674977,3.167249031057939,4.430185305267179,3.378436119402302,21.02619700000014,3.740075700000034,0.001
13,2.924308678932184,2.7284902268864344,3.1812816884739044,4.488838737088116,3.3797030905166925,22.385953199999676,2.7035157000000254,0.001
14,2.926291310325824,2.7926619024340544,3.2526857413264954,4.490166386608379,3.46529316837342,19.89332820000027,2.854630400000133,0.001
15,2.9085354241172956,2.7327727528437857,3.188314705978664,4.469357799715442,3.38440282344867,23.358569499999703,2.956086300000152,0.001
16,2.9094867833673614,2.718574714990887,3.174833023012181,4.424461007640218,3.4158234833503673,21.7505314,3.595322699999997,0.001
17,2.9140847989307,2.72497584022453,3.178240450073092,4.456178665203006,3.3767253686691143,19.684954700000162,2.971520000000055,0.001
18,2.9292989559168015,2.7033419679316406,3.1581769948386853,4.422340751426355,3.3729778699587842,22.205505500000072,3.3974663999997574,0.001
19,2.887254376931662,2.712314318681438,3.167466603362066,4.421886819450046,3.4034459849020995,24.43470550000029,2.3083145999999033,0.001
