model,seed,group,member_features,repetition,permutation,all_multiwindow_patient_shifts_nonzero,delta_pooled_mae,delta_patient_mae,delta_rmse,delta_bis_below_40_mae,delta_bis_40_to_60_mae,delta_bis_above_60_mae,seed_group_mean_delta_patient_mae,seed_group_sample_sd_delta_patient_mae,seed_group_minimum_delta_patient_mae,seed_group_maximum_delta_patient_mae,contribution_rank
gru,7,current_bis,bis,0,within_patient_nonzero_circular_shift_complete_trajectory_and_mask,True,5.3809698169003894,6.842973470687866,7.5567341552986935,5.830455303192139,3.822957754135132,15.26527738571167,6.474794626235962,0.8170746391191741,5.146178960800171,7.725229978561401,1.0
gru,7,current_bis,bis,1,within_patient_nonzero_circular_shift_complete_trajectory_and_mask,True,6.098642090422292,7.725229978561401,8.33129657347146,5.880356311798096,4.73169207572937,17.54908323287964,6.474794626235962,0.8170746391191741,5.146178960800171,7.725229978561401,1.0
gru,7,current_bis,bis,2,within_patient_nonzero_circular_shift_complete_trajectory_and_mask,True,5.938209584515228,7.447042226791382,8.046883576058766,5.50707483291626,4.713531255722046,17.265159130096436,6.474794626235962,0.8170746391191741,5.146178960800171,7.725229978561401,1.0
gru,7,current_bis,bis,3,within_patient_nonzero_circular_shift_complete_trajectory_and_mask,True,5.918815344064809,7.106698751449585,8.057468893786885,5.696977138519287,4.608132600784302,16.95478391647339,6.474794626235962,0.8170746391191741,5.146178960800171,7.725229978561401,1.0
gru,7,current_bis,bis,4,within_patient_nonzero_circular_shift_complete_trajectory_and_mask,True,5.90478072584564,6.378676176071167,7.968714227155425,5.873925685882568,4.456557989120483,17.12719488143921,6.474794626235962,0.8170746391191741,5.146178960800171,7.725229978561401,1.0
gru,7,current_bis,bis,5,within_patient_nonzero_circular_shift_complete_trajectory_and_mask,True,4.592551636015786,5.146178960800171,6.620503785489866,4.730308532714844,3.4629733562469482,12.611920833587646,6.474794626235962,0.8170746391191741,5.146178960800171,7.725229978561401,1.0
gru,7,current_bis,bis,6,within_patient_nonzero_circular_shift_complete_trajectory_and_mask,True,5.477684274667418,5.882370710372925,7.413112088278176,5.624940395355225,4.086498975753784,15.455914974212646,6.474794626235962,0.8170746391191741,5.146178960800171,7.725229978561401,1.0
gru,7,current_bis,bis,7,within_patient_nonzero_circular_shift_complete_trajectory_and_mask,True,5.460694582281237,5.58663535118103,7.481534981967805,5.812208652496338,4.165778398513794,13.775952816009521,6.474794626235962,0.8170746391191741,5.146178960800171,7.725229978561401,1.0
gru,7,current_bis,bis,8,within_patient_nonzero_circular_shift_complete_trajectory_and_mask,True,6.0024238621800965,6.307465314865112,7.863329527734942,6.36033296585083,4.627074480056763,14.904199123382568,6.474794626235962,0.8170746391191741,5.146178960800171,7.725229978561401,1.0
gru,7,current_bis,bis,9,within_patient_nonzero_circular_shift_complete_trajectory_and_mask,True,5.691821217438973,6.3246753215789795,7.658496968565045,6.444296360015869,4.121968507766724,14.292731761932373,6.474794626235962,0.8170746391191741,5.146178960800171,7.725229978561401,1.0
gru,7,bis_quality_and_dynamics,"bis_sqi,bis_slope",0,within_patient_nonzero_circular_shift_complete_trajectory_and_mask,True,0.08983127588620698,0.10754990577697754,0.09625901011025384,0.16626691818237305,0.05003070831298828,0.04777956008911133,0.1086627721786499,0.015012757612909907,0.07724881172180176,0.13907098770141602,2.0
gru,7,bis_quality_and_dynamics,"bis_sqi,bis_slope",1,within_patient_nonzero_circular_shift_complete_trajectory_and_mask,True,0.0964544898314239,0.11423659324645996,0.10260603363002474,0.17691826820373535,0.053070068359375,0.06356287002563477,0.1086627721786499,0.015012757612909907,0.07724881172180176,0.13907098770141602,2.0
