model,seed,feature,perturbation,original_pooled_mae,original_patient_mae,original_rmse,original_bis_below_40_mae,original_bis_40_to_60_mae,original_bis_above_60_mae,perturbed_pooled_mae,perturbed_patient_mae,perturbed_rmse,perturbed_bis_below_40_mae,perturbed_bis_40_to_60_mae,perturbed_bis_above_60_mae,delta_pooled_mae,delta_patient_mae,delta_rmse,delta_bis_below_40_mae,delta_bis_40_to_60_mae,delta_bis_above_60_mae,contribution_rank
gru,7,bis,feature_unavailable_value_zero_mask_zero_all_six_steps,3.1932606959597636,3.381091356277466,4.434598359224447,3.100215435028076,3.0627706050872803,4.6137776374816895,7.523118550067413,8.646726608276367,9.997899178493292,9.940028190612793,4.241095542907715,21.678447723388672,4.329857854107649,5.265635251998901,5.563300819268845,6.839812755584717,1.1783249378204346,17.064670085906982,1.0
gru,7,bis_sqi,feature_unavailable_value_zero_mask_zero_all_six_steps,3.1932606959597636,3.381091356277466,4.434598359224447,3.100215435028076,3.0627706050872803,4.6137776374816895,3.2525487235488293,3.4317495822906494,4.491266998436506,3.0218796730041504,3.2007150650024414,4.695247650146484,0.059288027589065706,0.050658226013183594,0.056668639212059446,-0.07833576202392578,0.13794445991516113,0.08147001266479492,11.0
gru,7,hr,feature_unavailable_value_zero_mask_zero_all_six_steps,3.1932606959597636,3.381091356277466,4.434598359224447,3.100215435028076,3.0627706050872803,4.6137776374816895,3.5105972320264685,3.6979548931121826,4.712538517887382,3.1151680946350098,3.5531704425811768,4.978011131286621,0.31733653606670487,0.3168635368347168,0.2779401586629353,0.014952659606933594,0.4903998374938965,0.36423349380493164,4.0
gru,7,mbp,feature_unavailable_value_zero_mask_zero_all_six_steps,3.1932606959597636,3.381091356277466,4.434598359224447,3.100215435028076,3.0627706050872803,4.6137776374816895,3.3292722199945217,3.530963897705078,4.5662859872054415,3.150500535964966,3.2623705863952637,4.651932716369629,0.13601152403475814,0.1498725414276123,0.13168762798099465,0.05028510093688965,0.1995999813079834,0.03815507888793945,7.0
gru,7,sbp,feature_unavailable_value_zero_mask_zero_all_six_steps,3.1932606959597636,3.381091356277466,4.434598359224447,3.100215435028076,3.0627706050872803,4.6137776374816895,3.2101814413535257,3.394972801208496,4.454217538914419,3.101119041442871,3.1165130138397217,4.421557426452637,0.016920745393762093,0.013881444931030273,0.019619179689971844,0.0009036064147949219,0.053742408752441406,-0.19222021102905273,15.0
gru,7,dbp,feature_unavailable_value_zero_mask_zero_all_six_steps,3.1932606959597636,3.381091356277466,4.434598359224447,3.100215435028076,3.0627706050872803,4.6137776374816895,3.2586649722204424,3.427347421646118,4.485935888849774,3.3577628135681152,3.0610032081604004,4.321874618530273,0.0654042762606788,0.046256065368652344,0.051337529625326894,0.25754737854003906,-0.0017673969268798828,-0.291903018951416,12.0
gru,7,spo2,feature_unavailable_value_zero_mask_zero_all_six_steps,3.1932606959597636,3.381091356277466,4.434598359224447,3.100215435028076,3.0627706050872803,4.6137776374816895,3.245636707489053,3.441004753112793,4.489241570511553,3.0063607692718506,3.1722755432128906,4.8921051025390625,0.05237601152928928,0.05991339683532715,0.054643211287106475,-0.09385466575622559,0.10950493812561035,0.27832746505737305,10.0
gru,7,etco2,feature_unavailable_value_zero_mask_zero_all_six_steps,3.1932606959597636,3.381091356277466,4.434598359224447,3.100215435028076,3.0627706050872803,4.6137776374816895,3.2074037215591864,3.3899006843566895,4.449995702621777,3.1732490062713623,3.0666935443878174,4.439070701599121,0.01414302559942282,0.008809328079223633,0.015397343397330232,0.07303357124328613,0.003922939300537109,-0.17470693588256836,16.0
gru,7,ppf_rate,feature_unavailable_value_zero_mask_zero_all_six_steps,3.1932606959597636,3.381091356277466,4.434598359224447,3.100215435028076,3.0627706050872803,4.6137776374816895,3.2998393195687723,3.475957155227661,4.536853759311769,3.0480473041534424,3.245979070663452,4.8538384437561035,0.10657862360900872,0.09486579895019531,0.10225540008732192,-0.05216813087463379,0.18320846557617188,0.24006080627441406,9.0
gru,7,ppf_volume,feature_unavailable_value_zero_mask_zero_all_six_steps,3.1932606959597636,3.381091356277466,4.434598359224447,3.100215435028076,3.0627706050872803,4.6137776374816895,3.3996684080223085,3.6277575492858887,4.64364427948117,3.1601905822753906,3.376131057739258,4.665777683258057,0.20640771206254493,0.24666619300842285,0.20904592025672297,0.05997514724731445,0.31336045265197754,0.05200004577636719,5.0
