analysis,model,group,resampling_unit,patient_count,bootstrap_replicates,bootstrap_seed,mean_delta_patient_mae,percentile_95_ci_lower,percentile_95_ci_upper
group_ablation,attention,bis_quality_and_dynamics,validation_patient,15,20000,20260716,0.005339301427205405,-0.0020729184945424404,0.013329558054606117
group_ablation,attention,current_bis,validation_patient,15,20000,20260716,25.319698095321655,24.607504921197894,26.04030489762624
group_ablation,attention,hemodynamic,validation_patient,15,20000,20260716,0.015105177561442057,0.0019119574228922522,0.02902097781499227
group_ablation,attention,propofol,validation_patient,15,20000,20260716,0.25730071067810056,0.21686870590845742,0.29710899845759076
group_ablation,attention,remifentanil,validation_patient,15,20000,20260716,0.03743143399556478,0.0168295361995697,0.059756470759709655
group_ablation,attention,respiratory,validation_patient,15,20000,20260716,0.008667284647623697,-0.00032185292243957494,0.018363445440928137
group_ablation,gru,bis_quality_and_dynamics,validation_patient,15,20000,20260716,0.4748748874664307,0.3828812263011933,0.5594817417462667
group_ablation,gru,current_bis,validation_patient,15,20000,20260716,5.134232397079469,3.9418677912553153,6.599157020092001
group_ablation,gru,hemodynamic,validation_patient,15,20000,20260716,0.3130204868316651,0.2407874925136566,0.4015320471127827
group_ablation,gru,propofol,validation_patient,15,20000,20260716,0.8376033178965251,0.6384044991334279,1.056464596748352
group_ablation,gru,remifentanil,validation_patient,15,20000,20260716,0.08098697662353516,0.0226059270699819,0.14286073994636528
group_ablation,gru,respiratory,validation_patient,15,20000,20260716,0.08304276784261067,0.053369774341583257,0.11417459861437476
group_permutation,attention,bis_quality_and_dynamics,validation_patient,15,20000,20260716,0.00574529266357422,0.0026438144207000733,0.009175703446070351
group_permutation,attention,current_bis,validation_patient,15,20000,20260716,6.645456742127737,5.476604577593009,7.920250971098741
group_permutation,attention,hemodynamic,validation_patient,15,20000,20260716,0.0014438823064168295,-0.0003882426420847575,0.00360503856341044
group_permutation,attention,propofol,validation_patient,15,20000,20260716,0.0411533702214559,0.025974398787816367,0.05872516802946726
group_permutation,attention,remifentanil,validation_patient,15,20000,20260716,0.00015468851725260424,-0.0015950784206390381,0.0018549504518508865
group_permutation,attention,respiratory,validation_patient,15,20000,20260716,0.00010322475433349615,-0.0005133136192957562,0.000636858034133911
group_permutation,gru,bis_quality_and_dynamics,validation_patient,15,20000,20260716,0.13625217469533282,0.07674498343467714,0.21082919391791022
group_permutation,gru,current_bis,validation_patient,15,20000,20260716,6.376258090337118,5.228922567391394,7.666168576431274
group_permutation,gru,hemodynamic,validation_patient,15,20000,20260716,0.01142003377278646,-0.001231752753257752,0.027119469753901167
group_permutation,gru,propofol,validation_patient,15,20000,20260716,0.05774491691589356,0.03235258946418762,0.08772345856030779
group_permutation,gru,remifentanil,validation_patient,15,20000,20260716,0.009309216499328614,-0.0023453280369440713,0.024072327812512718
group_permutation,gru,respiratory,validation_patient,15,20000,20260716,-0.0011071376800537102,-0.009098924175898235,0.007300537753105161
