epoch,train_loss,validation_loss,validation_pooled_mae,validation_patient_level_mae,training_time_seconds,validation_evaluation_time_seconds,learning_rate
1,18.669103917599212,3.3896656476887395,3.856020269070395,4.004827448631244,13.656377300000258,1.7761744000004,0.001
2,3.1379758312455994,2.903813842093249,3.366406174861345,3.5496401235632677,8.828376400000252,1.3895259999999325,0.001
3,2.886863873379934,2.858949941653491,3.3213160259928807,3.48175191119353,8.315625300000193,1.4700268000001415,0.001
4,2.8431504546177027,2.7318871787546217,3.1892124259537664,3.3949268151448164,8.604387400000178,1.9378677999998217,0.001
5,2.8469337858595916,2.7543977054159803,3.2110915424146764,3.37889468397865,7.833692500000325,1.5160747000004449,0.001
6,2.8309132906160372,2.788632938175893,3.2467949100749176,3.40897756940583,8.467383100000006,1.8171250999998847,0.001
7,2.8085969813499934,2.7356326894058225,3.1923132258438844,3.422388028690281,8.750226399999974,1.2613532000000305,0.001
8,2.781027327576954,2.7702323926951853,3.2274894709877597,3.400904561860227,13.245714399999997,1.94191550000005,0.001
9,2.775896864792579,2.7698452429307405,3.228216543039787,3.4297438521106867,14.063606100000015,1.8744269999997414,0.001
10,2.777801497124992,2.753238112479536,3.2109023075258247,3.409576264622259,10.922721599999932,1.7213809000004403,0.001
11,2.761822659718271,2.7294669561031237,3.187887408725252,3.3935673050286197,10.61379640000041,2.4095342999999048,0.001
12,2.728157981636055,2.7756712314933942,3.234532264969637,3.4161935211022794,10.652267699999811,1.5165022999999564,0.001
13,2.7464645985705984,2.764785601228234,3.222661769870078,3.4176567487714666,9.658677999999782,1.7373615999999856,0.001
