seed,split,pooled_mae,pooled_rmse,patient_mean_mae,bis_below_40_mae,bis_40_to_60_mae,bis_above_60_mae,high_bis_auprc,high_bis_auroc,low_bis_auprc,low_bis_auroc,parameter_count,runtime_seconds,inference_seconds
7,val,-0.02310861943890119,-0.025908133965401703,-0.008873708259823587,-0.08291205291005266,0.013189717002124457,-0.029682408668731952,0.0007514945061432021,-1.5434653608870086e-05,0.004572710239317601,0.002223824109040873,-5214,295.0752378000001,0.38802300000043033
7,test,0.01632002957431844,0.00980105499517503,-0.0025212737767343896,-0.13124852026732547,0.0958958616051575,0.2819091736049595,0.00036737449414891987,-0.0013347731412785002,0.0009933674865740816,-0.00029435915648323707,-5214,295.0752378000001,0.6034306000001379
21,val,-0.04454387680478966,-0.045951992091594285,-0.046205441333996955,0.2799270513739538,-0.1796644480631131,-0.4819572515479873,0.002464257191925001,-0.0005641513358937145,0.000414684187380554,0.00043005286852493274,-5214,300.1691776,1.5541892000010193
21,test,-0.07247283572436514,-0.06404407353435104,-0.05854013309521422,0.2095646104896125,-0.26664295887060874,-0.24475743666961858,-0.004710480073060408,-0.0016169949101906278,0.0046275758204766815,0.003224706424667767,-5214,300.1691776,0.4027556999990338
42,val,-0.028866329205305963,-0.0469285248429836,-0.015893718967532777,0.05267482010582025,-0.006517699605542937,-0.5696639256965943,0.013085419775959006,0.0028734999384579796,-0.0024846723010295557,-0.0006914587507808045,-5214,-1289.476291900035,0.49071209999965504
42,test,-0.008789033690028702,0.006810546599156808,-0.019132624688257938,-0.0770448980095888,0.05587729857714541,-0.1079327103631531,-0.0026511564436698665,-0.0006674702414869449,-0.00471640467927914,-0.0030643829940647516,-5214,-1289.476291900035,1.0251406999996107
84,val,-0.04617473993426513,-0.011010437889373392,-0.016394746702440788,0.060271654036525124,-0.03923528633559181,-0.5819950185758511,-0.005257657366322999,0.00015820519949261147,0.0035783490995434653,0.0010261648485969666,-5214,429.70560049999995,0.0194299000004321
84,test,-0.050564065263405844,0.001821739726905136,-0.029671436885176483,-0.030975381374400257,-0.07008302901289376,-0.014458054030114909,-0.01101230816855081,-0.0016507142617686599,0.005092995103601949,0.004144898058017432,-5214,429.70560049999995,0.44277770000007877
123,val,-0.016946350334546167,0.02611259374635644,0.008487139719378867,0.03281196757125793,0.0089026355820776,-0.44040061377708906,-0.006694693400596252,-0.0005344125924754417,-0.001745820837373735,-0.0005365145229926371,-5214,375.97775100000035,0.30635030000030383
123,test,-0.03810281579256802,0.004260477640397831,-0.024906809885604453,-0.0445689038210082,-0.07097858603823948,0.26327584942426885,-0.008573087896454501,-0.0014481192494769646,-7.167650629824607e-05,0.0005274185997706793,-5214,375.97775100000035,0.8375909999986106
