model,split,metric,mean,sample_standard_deviation,minimum,maximum
gru,val,runtime_seconds,480.4698831599984,636.5780824029154,135.88821849999988,1615.2501671999926
gru,val,pooled_mae,3.212236459596197,0.03126072974478897,3.1759923762178657,3.2583829355558165
gru,val,pooled_rmse,4.4644569813785715,0.03447386295872851,4.428722714808598,4.50543858846413
gru,val,r_squared,0.8082177293789362,0.0029632660905729116,0.8046899443049148,0.8112845598129345
gru,val,patient_mean_mae,3.3927879665101583,0.025555907479833502,3.3705227335350707,3.434629037098961
gru,val,patient_median_mae,3.3471045870305347,0.052809399868258194,3.264976307692307,3.3933102378976483
gru,val,patient_mean_rmse,4.705376283042769,0.02693398031113011,4.678820487788577,4.735459910982287
gru,val,bis_below_40_mae,3.038575745690391,0.08069801203541424,2.930022493940946,3.1106968863287254
gru,val,bis_40_to_60_mae,3.0975747574997468,0.08699701215499132,3.0070488443410537,3.234645626681501
gru,val,bis_above_60_mae,4.8772042393188855,0.1771349382067189,4.6137774883900935,5.096939
gru,val,high_bis_auprc,0.8253035965288209,0.00604029439210073,0.8193760653203116,0.8329377863401931
gru,val,high_bis_auroc,0.9787520266584977,0.001246526257177142,0.9771028388358692,0.9800199883679731
gru,val,low_bis_auprc,0.8881056607185555,0.002523904616909446,0.885874183204414,0.8919438148540622
gru,val,low_bis_auroc,0.9289179045372252,0.0009930905475000237,0.9279700874049726,0.9305731763868996
gru,val,high_bis_bias,-3.4516510910216716,0.23321413486785927,-3.7687074179566564,-3.2066654001547987
gru,val,prediction_mean,43.10205203684704,0.29550765153599406,42.642041497358846,43.38675943649489
gru,val,prediction_standard_deviation,9.477942830332662,0.07614479835490988,9.380681575843209,9.567760576935624
gru,val,inference_seconds,1.51666355999987,0.5102694432267437,1.0643956000003527,2.347867999999835
attention,val,runtime_seconds,502.7601781599915,129.90914125750913,325.7738752999576,652.7744944000001
attention,val,pooled_mae,3.1803084764526353,0.02287358117281165,3.1590460258833195,3.213839058751027
attention,val,pooled_rmse,4.443719682369973,0.020205876478046662,4.408690248772849,4.459486596372535
attention,val,r_squared,0.8100011603514334,0.0017233766012369383,0.8086536506157231,0.8129879338356913
attention,val,patient_mean_mae,3.377011871401275,0.01003203838012566,3.3624999605775416,3.388423595764964
attention,val,patient_median_mae,3.3176351341632087,0.04951081331140771,3.269439947441217,3.394047560165975
attention,val,patient_mean_rmse,4.708836423982975,0.03321997470422423,4.658554947218025,4.750702641925817
attention,val,bis_below_40_mae,3.1071304337258914,0.08490489834122897,3.0173032775217616,3.2099495453149
attention,val,bis_40_to_60_mae,3.0569097412157378,0.041678553597614514,3.0159514799231313,3.116890784363305
attention,val,bis_above_60_mae,4.456464395665635,0.1310605161459157,4.240592948142416,4.5840950797213615
attention,val,high_bis_auprc,0.8261733606702425,0.009476855522299852,0.8148340021680015,0.8336892808463363
attention,val,high_bis_auroc,0.9791355679696923,0.0008697636360197595,0.9780787857469527,0.9799763387743272
attention,val,low_bis_auprc,0.8889727107961232,0.001247400219080452,0.8872700904621691,0.8904782488183077
attention,val,low_bis_auroc,0.9294083182477031,0.0008087376836299217,0.9283058317062166,0.9301939115140134
attention,val,high_bis_bias,-3.0517101229102166,0.1805026336443308,-3.319117880030959,-2.9188852732198143
attention,val,prediction_mean,43.35648643626012,0.24382022206427464,43.09547026141566,43.632064636811826
attention,val,prediction_standard_deviation,9.58742186969014,0.10585541969761957,9.474654153665941,9.713707782674055
attention,val,inference_seconds,2.068404460000238,0.5874519215515305,1.5551077000000078,2.934461800000463
gru,test,runtime_seconds,480.4698831599984,636.5780824029154,135.88821849999988,1615.2501671999926
gru,test,pooled_mae,3.21671180469191,0.0233450332238826,3.190550010406867,3.242818412335372
gru,test,pooled_rmse,4.408973332389175,0.020580228009950685,4.383388086070843,4.427958120743224
gru,test,r_squared,0.8128231059209468,0.0017461021947674767,0.8112109800601852,0.8149924004349054
gru,test,patient_mean_mae,3.3359392937440604,0.017904790212718277,3.3134341046725257,3.358010496212274
gru,test,patient_median_mae,3.3476213028080886,0.051319591715619145,3.288868817596567,3.4305441327345307
gru,test,patient_mean_rmse,4.529572764597728,0.01777134316523629,4.50601357029671,4.548342106273944
gru,test,bis_below_40_mae,2.921578088130176,0.0969763833237012,2.759084681970071,2.995356128141798
gru,test,bis_40_to_60_mae,3.282654102779013,0.08504237543166393,3.2183346120498,3.431553856047132
gru,test,bis_above_60_mae,4.490572263064659,0.12372723887131896,4.348973337466785,4.678521118689106
gru,test,high_bis_auprc,0.8730962871883705,0.0028160571587057142,0.8694415673794837,0.8770638030971482
gru,test,high_bis_auroc,0.9856912865904469,0.0003603805299408001,0.9852322627425264,0.9862214473929864
gru,test,low_bis_auprc,0.8772740781830185,0.0021605549322597888,0.8748432471455323,0.8795586135987471
gru,test,low_bis_auroc,0.9058132676140715,0.0015282249766398182,0.904192386681805,0.9074953750786964
gru,test,high_bis_bias,-2.673883162976085,0.19063222939747926,-2.923920552701506,-2.4040802905225864
gru,test,prediction_mean,42.715628107490595,0.31738797061676693,42.170130748824086,42.96519907043744
gru,test,prediction_standard_deviation,9.601311951503092,0.09584831461355665,9.487425289482369,9.735688638482616
gru,test,inference_seconds,1.6867184200003975,0.6071688817033196,1.0948913000001994,2.34283300000061
attention,test,runtime_seconds,502.7601781599915,129.90914125750913,325.7738752999576,652.7744944000001
attention,test,pooled_mae,3.1859900605127,0.033649786097864565,3.1556274303857013,3.234029378645343
attention,test,pooled_rmse,4.400703281474632,0.02833028632417051,4.361476045614445,4.4347686673423805
attention,test,r_squared,0.8135217024992232,0.0023994764198459013,0.810629788829515,0.8168374396866521
attention,test,patient_mean_mae,3.308984838077863,0.021564146574128605,3.2885272947869213,3.338877871524016
attention,test,patient_median_mae,3.284409667534052,0.03159035437052149,3.255227371244635,3.332756939914163
attention,test,patient_mean_rmse,4.5290443600913495,0.022004915838934443,4.495728196456431,4.553196129549483
attention,test,bis_below_40_mae,2.9067234695336337,0.0778598418902209,2.7763412915879706,2.9686492924596837
attention,test,bis_40_to_60_mae,3.231467820031125,0.09751673431430455,3.1473560260115607,3.357561380057803
attention,test,bis_above_60_mae,4.526179627457927,0.1615835263156049,4.271728686448185,4.681826562444641
attention,test,high_bis_auprc,0.8677803555708531,0.004913925981349841,0.8607211441614173,0.8723533230240877
attention,test,high_bis_auroc,0.9843476722296067,0.0005517640286631601,0.9835815484807577,0.9850502507587411
attention,test,low_bis_auprc,0.8784592496280336,0.004911614380607995,0.8701268424662532,0.883182884191838
attention,test,low_bis_auroc,0.9067209238004532,0.003306809587354376,0.9011280036877403,0.9095604091669762
attention,test,high_bis_bias,-2.861158122409212,0.38573932154427243,-3.2453029751992917,-2.2836201851195748
attention,test,prediction_mean,42.8048031619238,0.2902190549025441,42.39313941204139,43.116691801622764
attention,test,prediction_standard_deviation,9.580495595374739,0.13717286256351743,9.42546611972098,9.767714721920429
attention,test,inference_seconds,2.349057559999892,0.7453257280432292,1.4976469999992332,3.3505887999999686
