model,seed,split,runtime_seconds,completed_epochs,best_epoch,stopped_epoch,mean_epoch_time_seconds,training_batches_per_epoch,sampler_samples_per_epoch,batch_size,num_workers,final_prediction_attention_extraction_seconds,parameter_count,pooled_mae,pooled_rmse,r_squared,patient_mean_mae,patient_median_mae,patient_mae_standard_deviation,patient_mae_interquartile_range,patient_mean_rmse,bis_below_40_mae,bis_40_to_60_mae,bis_above_60_mae,high_bis_auprc,high_bis_auroc,low_bis_auprc,low_bis_auroc,high_bis_bias,prediction_mean,prediction_standard_deviation,inference_seconds
gru,7,val,135.88821849999988,11,3,11,11.673079254545458,268,68470,256,0,3.8117070999999214,30209,3.1932607223852565,4.434598382738251,0.8107834831444314,3.38109135856524,3.3241074785615488,0.6248686949198015,0.9919477542804929,4.678820487788577,3.1002153304318143,3.062770714271265,4.6137774883900935,0.8329377863401931,0.9798385574556454,0.8859055385789901,0.9279700874049726,-3.2471993707430338,43.18906851966193,9.567760576935624,1.1739908999998079
attention,7,val,430.96345629999996,23,15,23,18.275950247826064,268,68470,256,0,3.8668310999998994,24995,3.1701521029463553,4.408690248772849,0.8129879338356913,3.372217650305416,3.287244475795297,0.6105586611613777,0.9446572499252399,4.658554947218025,3.0173032775217616,3.0759604312733893,4.5840950797213615,0.8336892808463363,0.9798231228020365,0.8904782488183077,0.9301939115140134,-3.319117880030959,43.09547026141566,9.474654153665941,1.5620139000002382
gru,7,test,135.88821849999988,11,3,11,11.673079254545458,268,68470,256,0,3.8117070999999214,30209,3.190550010406867,4.390660467068553,0.8143780072648167,3.3235630296150704,3.3423831378935938,0.5015150395220265,0.5271234651511101,4.517635266677039,2.907589811855296,3.2616655184526455,4.348973337466785,0.8694415673794837,0.9857480098470546,0.8783280855113048,0.9068332822143661,-2.923920552701506,42.72444009225071,9.654076516675385,1.1959648000001835
attention,7,test,430.96345629999996,23,15,23,18.275950247826064,268,68470,256,0,3.8668310999998994,24995,3.2068700399811854,4.400461522063728,0.8135483726665614,3.321041755838336,3.332756939914163,0.510059385599805,0.5787016634590922,4.528840111090873,2.7763412915879706,3.357561380057803,4.630882511071745,0.8698089418736327,0.9844132367057761,0.8793214529978789,0.9065389230578829,-3.1131593666961916,42.39313941204139,9.486148870528513,1.7993954000003214
gru,21,val,209.28639079999994,16,8,16,12.686076743749993,268,68470,256,0,2.746502400000054,30209,3.2583829355558165,4.50543858846413,0.8046899443049148,3.434629037098961,3.3742536417704008,0.610921769608358,0.9586503533934225,4.735459910982287,2.930022493940946,3.234645626681501,4.929090830495356,0.8305883326386128,0.9800199883679731,0.8877888556557678,0.9283769257394919,-3.4610536679566564,42.642041497358846,9.52289680756697,1.3802725999994436
attention,21,val,509.45556839999995,23,15,23,21.45601189565221,268,68470,256,0,7.989923999999974,24995,3.213839058751027,4.459486596372535,0.8086536506157231,3.388423595764964,3.394047560165975,0.5857701792440339,0.9065804550131755,4.708247836064784,3.2099495453149,3.054981178618388,4.447133578947368,0.8330525898305378,0.9794558370320794,0.8882035398431484,0.9288069786080169,-2.9365057368421055,43.546518532280786,9.623750251663298,2.934461800000463
gru,21,test,209.28639079999994,16,8,16,12.686076743749993,268,68470,256,0,2.746502400000054,30209,3.2314293972248356,4.425520119148796,0.8114188145558988,3.3475155582982743,3.4305441327345307,0.46991600787127763,0.5050000924523328,4.548342106273944,2.759084681970071,3.431553856047132,4.5164861231178035,0.8770638030971482,0.9862214473929864,0.8785553083713613,0.9063357027423085,-2.683348342781222,42.170130748824086,9.735688638482616,1.0948913000001994
attention,21,test,509.45556839999995,23,15,23,21.45601189565221,268,68470,256,0,7.989923999999974,24995,3.1589565615004704,4.361476045614445,0.8168374396866521,3.28897542520306,3.2948616295157573,0.5284411085040801,0.6181767010778447,4.495728196456431,2.9686492924596837,3.164910897176523,4.271728686448185,0.8723533230240877,0.9846044524827958,0.883182884191838,0.9095604091669762,-2.2836201851195748,43.116691801622764,9.767714721920429,1.4976469999992332
gru,42,val,1615.2501671999926,19,11,19,82.95407086316692,268,68470,256,0,0.0,30209,3.222454710881559,4.4941258770773596,0.8056695214744791,3.398801996071538,3.3788752692307686,0.6182726260250027,0.9382939662774485,4.732892311504994,2.9762414225977127,3.123408483968848,5.096939,0.8193760653203116,0.9771028388358692,0.8919438148540622,0.9305731763868996,-3.7687074179566564,42.995925685409084,9.420842033257,1.0643956000003527
attention,42,val,325.7738752999576,18,10,18,17.442815355542635,268,68470,256,0,4.306510000140406,24995,3.193588381676253,4.447197352234376,0.8097068040997764,3.382908277104005,3.269439947441217,0.5940288072827548,0.951864778492876,4.706542072524344,3.028916242703533,3.116890784363305,4.527275074303406,0.8324614850962706,0.9799763387743272,0.8894591425530326,0.9298817176361188,-2.924301620743034,43.11876626112219,9.713707782674055,1.5551077000000078
