first_seed,second_seed,spearman_rank_correlation,cosine_similarity
7,21,0.7714285714285715,0.9555944647870621
7,42,0.3142857142857143,0.9479112428954223
7,84,0.7714285714285715,0.9518417285433723
7,123,0.3142857142857143,0.9567280395252433
21,42,0.6571428571428573,0.9989868810121971
21,84,0.8857142857142858,0.9996054403541065
21,123,0.7714285714285715,0.999259273096678
42,84,0.7714285714285715,0.9997355782539964
42,123,0.8857142857142858,0.9980501729937212
84,123,0.6571428571428573,0.9990809045370689
