split,feature,mean_feature_attention,standard_deviation_across_cases,median_across_cases,minimum_case_attention,maximum_case_attention,mean_combined_attention_summed_across_time,validation_rank
val,bis,0.6709421873092651,0.05692559853196144,0.6488821506500244,0.5689557790756226,0.7729692459106445,0.643103301525116,1
val,bis_error,0.28800973296165466,0.05469221994280815,0.3021334707736969,0.1767602562904358,0.3653682470321655,0.349260538816452,2
val,rftn_volume,0.03344358131289482,0.013139178976416588,0.03759784623980522,0.013943751342594624,0.05156721919775009,0.005358989350497723,3
val,bis_sqi,0.006019087973982096,0.0022165358532220125,0.005743683315813541,0.0034577208571135998,0.011898194439709187,0.0013067943509668112,4
val,dbp,0.0005210984381847084,0.00015965107013471425,0.00048427795991301537,0.000332087860442698,0.0008114911033771932,0.0004033483855891973,5
val,bis_slope,0.0004413867718540132,7.771720993332565e-05,0.0004496559267863631,0.0003413326048757881,0.0006414229283109307,0.00014914826897438616,6
val,spo2,0.00025097772595472634,7.895105227362365e-05,0.00022804393665865064,0.00015416924725286663,0.00040226997225545347,0.0001914793683681637,7
val,ppf_volume,8.370880095753819e-05,2.151131229766179e-05,7.749873475404456e-05,5.414549741544761e-05,0.00011661119788186625,4.353755866759457e-05,8
val,ppf_ce,4.862077548750676e-05,2.2201891624717973e-05,3.907309292117134e-05,2.1518475477932952e-05,9.688633144833148e-05,2.6833902666112408e-05,9
val,ppf_rate,4.799214730155654e-05,1.3998004760651384e-05,4.3651954911183566e-05,2.963930819532834e-05,8.159542630892247e-05,3.886835111188702e-05,10
val,mbp,4.308576535549946e-05,1.062776027538348e-05,4.083852400071919e-05,3.1000017770566046e-05,6.594270962523296e-05,1.581344986334443e-05,11
val,ppf_cp,4.108530265511945e-05,1.2317696018726565e-05,3.872987872455269e-05,2.3279581000679173e-05,6.31030707154423e-05,3.596835085772909e-05,12
val,sbp,2.8849310183431953e-05,7.347207883867668e-06,2.8154383471701294e-05,1.9445196812739596e-05,4.255275416653603e-05,1.6244162907241844e-05,13
val,rftn_rate,2.1419638869701885e-05,5.917991529713618e-06,2.0761595806106925e-05,1.2305203199503012e-05,3.4075183066306636e-05,1.27669909488759e-05,14
val,etco2,2.0065263015567325e-05,5.1624288062157575e-06,1.872995198937133e-05,1.4170728718454484e-05,3.07272894133348e-05,1.3533407582144719e-05,15
val,hr,1.2837965186918154e-05,3.7293384593795054e-06,1.1563143743842375e-05,7.081827789079398e-06,1.9349616195540875e-05,8.329472620971501e-06,16
val,rftn_cp,1.2824712939618621e-05,3.5329032925801584e-06,1.2904099094157573e-05,6.276109616010217e-06,1.8078942957799882e-05,7.302502126549371e-06,17
val,rftn_ce,1.1338971489749383e-05,2.683409775272594e-06,1.1211017408641055e-05,6.35765081824502e-06,1.5199556401057635e-05,7.28714803699404e-06,18
test,bis,0.6808344125747681,0.049584947526454926,0.6673291921615601,0.6005962491035461,0.8009454607963562,0.6568486094474792,1
test,bis_error,0.2800491750240326,0.04295113682746887,0.2906899154186249,0.15669186413288116,0.3285396695137024,0.3359192907810211,2
test,rftn_volume,0.031745653599500656,0.016000688076019287,0.03744586929678917,0.0,0.05633770674467087,0.0050077373161911964,3
test,bis_sqi,0.005621614400297403,0.002249391982331872,0.005126201547682285,0.002800028771162033,0.012002834118902683,0.0011333972215652466,4
test,dbp,0.0005748129333369434,0.00026798341423273087,0.0005128347547724843,0.0003143085050396621,0.0012338971719145775,0.00045447697630152106,5
test,bis_slope,0.0004294868267606944,0.00011640376760624349,0.00038959208177402616,0.00029394536977633834,0.000744190881960094,0.00014238325820770115,6
test,spo2,0.00036668646498583257,0.0003165942325722426,0.00022286848980002105,0.00012843879812862724,0.001079751760698855,0.0002721273631323129,7
test,ppf_volume,8.84960318217054e-05,5.021449760533869e-05,7.544373511336744e-05,4.9161175411427394e-05,0.0002522957802284509,4.4978711230214685e-05,8
test,ppf_ce,4.171832915744744e-05,1.1787274161179084e-05,3.964910138165578e-05,2.6028732463601045e-05,6.807701720390469e-05,2.2229369278647937e-05,9
test,ppf_rate,4.965261177858338e-05,1.7304833818343468e-05,4.329986040829681e-05,3.362161078257486e-05,0.00010017395106842741,3.965741416322999e-05,10
test,mbp,4.631112824426964e-05,1.9807506760116667e-05,3.930351522285491e-05,2.9344029826461338e-05,0.00010935564205283299,1.715388316370081e-05,11
test,ppf_cp,4.038682163809426e-05,1.7777829270926304e-05,3.501881656120531e-05,2.6166491807089187e-05,9.857838449534029e-05,3.353724969201721e-05,12
test,sbp,3.4258715459145606e-05,2.5909457690431736e-05,2.5156670744763687e-05,1.7559301340952516e-05,0.00012217780749779195,1.8285130863660015e-05,13
test,rftn_rate,1.976031853700988e-05,1.1571544746402651e-05,1.9173081454937346e-05,0.0,4.578204971039668e-05,1.1109452316304669e-05,14
test,etco2,2.106403735524509e-05,9.433281775272917e-06,1.695808896329254e-05,1.3721225514018442e-05,4.446888488018885e-05,1.2993792552151717e-05,15
test,hr,1.5006881767476443e-05,7.644828656339087e-06,1.311129926762078e-05,8.344464731635526e-06,3.955294596380554e-05,9.287777174904477e-06,16
test,rftn_cp,1.1365952559572179e-05,7.806605026416946e-06,9.969910024665296e-06,0.0,3.2092604669742286e-05,6.2560047808801755e-06,17
test,rftn_ce,1.0359750376665033e-05,6.333713372441707e-06,9.685417353466619e-06,0.0,2.6796220481628552e-05,6.49260346108349e-06,18
