split,model,pooled_mae,pooled_rmse,r_squared,patient_mean_mae,patient_median_mae,patient_mae_standard_deviation,patient_mae_interquartile_range,patient_mean_rmse,bis_below_40_mae,bis_40_to_60_mae,bis_above_60_mae,high_bis_auprc,high_bis_auroc,low_bis_auprc,low_bis_auroc,parameter_count,prediction_inference_seconds,inference_including_attention_seconds
val,persistence,3.3314561726728487,4.743367177998911,0.7835169274090373,3.4980235235370785,3.246997685142417,0.7078827768929792,1.0554878389785798,4.989662248572927,3.079535690561529,3.3699858772125015,4.179024993034055,0.7901357654345039,0.9744334302406743,0.8796624402483704,0.9236077932496043,0,0.00013509998098015785,
val,gru_seed_42,3.205640497534922,4.463544894237956,0.8083052276281153,3.386568205232208,3.1978058205128206,0.6561378858972763,0.9718677805860962,4.701216830214276,2.9228022933947777,3.144504977040558,4.956101743034056,0.8233386500570506,0.9790434270200423,0.8886503114730216,0.9301034275049493,30337,0.9113106000004336,
val,factorized_attention_gru_seed_42,3.1669800270571664,4.468997687672255,0.8078365819718192,3.368623176113309,3.3176463305670816,0.6272663874415333,1.0339040450167243,4.741400862946937,3.1222500735620415,3.0558757893193085,4.220045349071207,0.8171894689499624,0.9781041742774911,0.8900438282381238,0.9300750830245937,25011,1.1486014999682084,1.2232449000002816
val,attention_minus_gru_seed_42,-0.03866047047775556,0.005452793434298719,,-0.017945029118898947,,,,,0.19944778016726383,-0.08862918772124972,-0.7360563939628486,-0.006149181107088286,-0.0009392527425512442,0.0013935167651021318,-2.834448035560211e-05,-5326,0.23729089996777475,
val,attention_minus_persistence,-0.16447614561568225,-0.2743694903266558,,-0.12940034742376927,,,,,0.042714383000512335,-0.31411008789319306,0.04102035603715226,0.027053703515458438,0.0036707440368167754,0.01038138798975341,0.006467289774989449,25011,1.1484663999872282,
test,persistence,3.3734448562441206,4.736802832727691,0.7839569309638809,3.4964561526000297,3.369527899141631,0.6423631929227767,0.8415602842289909,4.851500114450443,3.0031235462734274,3.553118112272121,4.1994687404782995,0.8401844446319434,0.9804923092267023,0.8673514732756353,0.8994170572335132,0,0.0001474000164307654,
test,gru_seed_42,3.174414620413923,4.3704286272718615,0.8160847308765412,3.293206405649386,3.361020431330472,0.5031355712751188,0.5311008180912324,4.499126305177183,2.7291128218799945,3.3558656535126725,4.443394944198406,0.8741609430215174,0.9860819123094933,0.8800339023445312,0.908343497936408,30337,0.9593754999805242,
test,factorized_attention_gru_seed_42,3.1533778229068674,4.4099874504158825,0.8127402541211586,3.2887390042168856,3.253472408798283,0.5398013175877973,0.6722042626888736,4.550815831059128,2.887765392706669,3.2045424744330813,4.365010375553587,0.8626413418974795,0.9836798059461078,0.8810936045628109,0.9087069268891149,25011,1.1070304000168107,1.2135143000050448
test,attention_minus_gru_seed_42,-0.02103679750705556,0.03955882314402093,,-0.004467401432500573,,,,,0.1586525708266744,-0.15132317907959125,-0.07838456864481902,-0.011519601124037826,-0.002402106363385448,0.0010597022182797788,0.00036342895270691233,-5326,0.14765490003628656,
test,attention_minus_persistence,-0.2200670333372532,-0.32681538231180873,,-0.20771714838314415,,,,,-0.11535815356675849,-0.34857563783903966,0.16554163507528763,0.022456897265536124,0.003187496719405547,0.013742131287175607,0.009289869655601746,25011,1.10688300000038,
