split,time_lag_seconds,mean_temporal_attention,standard_deviation_across_cases,median_across_cases,minimum_case_attention,maximum_case_attention,validation_rank
val,0,0.595422625541687,0.047196242958307266,0.6093625426292419,0.4899366796016693,0.6583497524261475,1
val,-20,0.1535612940788269,0.012274716980755329,0.1558111608028412,0.12451206147670746,0.17084990441799164,2
val,-40,0.15308745205402374,0.034134406596422195,0.1446624994277954,0.10863515734672546,0.2133357971906662,3
val,-10,0.06110769510269165,0.016797685995697975,0.05998054891824722,0.03234611451625824,0.08800682425498962,4
val,-30,0.024345653131604195,0.0044803619384765625,0.023421548306941986,0.02035527303814888,0.03390099108219147,5
val,-50,0.012475237250328064,0.0028861488681286573,0.011250589042901993,0.009234624914824963,0.019717415794730186,6
test,0,0.6077173948287964,0.04987948387861252,0.6152053475379944,0.5201227068901062,0.7061315774917603,1
test,-20,0.1556234359741211,0.013726124539971352,0.15722526609897614,0.12603585422039032,0.18366318941116333,2
test,-40,0.13582327961921692,0.027080487459897995,0.13141873478889465,0.10668844729661942,0.2148466557264328,3
test,-10,0.06485319882631302,0.017468705773353577,0.06384353339672089,0.04037032648921013,0.10865028202533722,4
test,-30,0.023987723514437675,0.005558339413255453,0.024212472140789032,0.01372623536735773,0.036315739154815674,5
test,-50,0.011995035223662853,0.0032693652901798487,0.011233336292207241,0.007047400344163179,0.020343543961644173,6
