epoch,train_loss,validation_loss,validation_pooled_mae,validation_rmse,validation_patient_level_mae,training_time_seconds,validation_evaluation_time_seconds,learning_rate
1,20.196630605892906,6.760756177708553,7.240824113584542,9.914288531468792,8.48641139044261,334.38686299999245,14.704734699975234,0.001
2,4.8487929579496765,3.1374294414726247,3.5979551847502442,5.050389049367864,3.9152864979652198,409.73993899999186,10.348487199982628,0.001
3,3.3225689651079207,2.8864066793068095,3.348130298005064,4.630484380458166,3.5860398960965205,43.9349385999958,4.178550400014501,0.001
4,3.080052209704814,2.792234895514524,3.2502859867658818,4.552545472484772,3.4711239435306873,26.202681299997494,2.8329969000187702,0.001
5,3.0237825152716256,2.8654876083593885,3.3267509713672756,4.602364843322476,3.568541500216161,15.598010799963959,1.7751739000086673,0.001
6,2.9935048159603066,2.777664674953027,3.2340658662296513,4.528716060894064,3.4471316317335208,13.046826700039674,1.736963800038211,0.001
7,2.9715894759336807,2.781415479929602,3.237713043476189,4.548424003191234,3.4581023362899903,13.236176799982786,1.6341700000339188,0.001
8,2.9685112712643384,2.731001481524039,3.185295224763485,4.466192425042664,3.4010863637712645,13.18829530000221,1.5173310000100173,0.001
9,2.9505193017043387,2.790949866222879,3.249172352417938,4.5273763830012665,3.452621909045351,12.756773000000976,1.9593135999748483,0.001
10,2.9420306475750633,2.7100655188483804,3.164040846700945,4.456222832097029,3.379289488558795,13.152301899972372,1.8714566000271589,0.001
11,2.9229662077190475,2.7064146548037322,3.1605763087769128,4.435414550341375,3.37793998402571,14.870936600025743,2.062622099998407,0.001
12,2.9249176316005707,2.7150495198428146,3.166980006014997,4.468997666482848,3.368623145467883,12.8764053999912,1.7728977000224404,0.001
13,2.924643576529943,2.723884482299208,3.1780373278547445,4.458903050153262,3.3812195447660245,12.712531299970578,1.6685576000018045,0.001
14,2.910191292906915,2.736620518422096,3.1904259331420297,4.485380522047175,3.418610937912611,12.554493199975695,1.860996300005354,0.001
15,2.9408103474042737,2.7228252584909884,3.1770896248896365,4.443851215782268,3.38927315502117,13.253463300003204,1.720610000018496,0.001
16,2.919418082732397,2.7332699905889863,3.189427124808856,4.455654229235242,3.413027133054798,12.542910600022878,1.941546899965033,0.001
17,2.9099074410995254,2.7325550572862927,3.187852278157626,4.47105845387557,3.3922325213495435,13.864172100031283,2.2019880999578163,0.001
18,2.92961157259322,2.7364553161204204,3.1922486070484495,4.463401460105366,3.416048058464549,12.437131600046996,2.1588945000548847,0.001
19,2.892530339962377,2.706479444010099,3.160221387668596,4.440450068208698,3.3818014075992573,13.084620799985714,1.8258654999663122,0.001
20,2.9021269196434685,2.7454567786770983,3.20262928738926,4.449572207507797,3.4092558467098546,14.43359369999962,1.9154154999996535,0.001
